time_s,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,UA_corr_W_per_K
353.716,5.895266666666667,6.8,-36.495,43.294999999999995,255.9255787648567,400.06391446236,9.240418396174155
354.721,5.912016666666667,6.76,-36.53,43.29,253.79137873056467,397.929714428068,9.192185595473966
355.726,5.928766666666666,6.745,-36.495000000000005,43.24,249.85410984105275,393.992445538556,9.111758684980481
356.731,5.945516666666666,6.75,-36.505,43.255,246.56549760991754,390.70383330742084,9.032570415152486
357.736,5.962266666666666,6.715,-36.81,43.525000000000006,247.67956189518213,391.8178975926854,9.002134350205292
358.74,5.979,6.7250000000000005,-37.095,43.82,245.05443935117526,389.1927750486785,8.881624259440404
359.746,5.9957666666666665,6.71,-37.47,44.18,243.8748672485911,388.0132029460944,8.782553258173255
360.751,6.0125166666666665,6.72,-37.92,44.64,240.3082904297279,384.4466261272312,8.612155603208583
361.755,6.02925,6.7250000000000005,-38.395,45.120000000000005,238.20116513450728,382.3395008320106,8.473836454610163
362.761,6.0460166666666675,6.69,-38.855000000000004,45.545,238.1215940016696,382.25992969917286,8.393016350843624
363.765,6.062749999999999,6.615,-39.285000000000004,45.900000000000006,235.36406292728037,379.50239862478367,8.268026113829709
364.77,6.0794999999999995,6.7,-39.56,46.260000000000005,234.91380134134891,379.0521370388522,8.193950217009343
365.775,6.0962499999999995,6.665,-39.645,46.31,232.88505775499178,377.02339345249504,8.141295475113258
366.78,6.1129999999999995,6.65,-39.82,46.47,231.24138125200034,375.37971694950363,8.077893629212474
367.785,6.1297500000000005,6.64,-39.730000000000004,46.370000000000005,227.68859129343787,371.82692699094116,8.018695859196487
368.79,6.1465000000000005,6.619999999999999,-39.74,46.36,226.7207764555322,370.8591121530355,7.999549442472724
369.795,6.163250000000001,6.619999999999999,-39.675,46.294999999999995,224.98394876608128,369.1222844635846,7.973264595822111
370.8,6.180000000000001,6.635,-39.54,46.175,221.92192774503732,366.06026344254064,7.92767219150061
371.805,6.19675,6.545,-39.475,46.02,222.0276113786204,366.1659470761237,7.956669862584174
372.809,6.2134833333333335,6.545,-39.47,46.015,221.06001351132485,365.1983492088282,7.936506556749499
373.815,6.23025,6.595,-39.505,46.1,219.66803672354737,363.8063724210507,7.891678360543398
374.819,6.2469833333333336,6.585,-39.69,46.275,220.58204384589672,364.7203795434,7.881585727572123
