dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
mixed,549.955,615.268,9.165916666666668,13.34,12.0325,1.3074999999999992,228.64316776679104,228.64316776679104,1905.3597313899254,174.87049159984028,1457.2540966653357,1
mixed,551.051,616.364,9.184183333333333,13.3,12.005,1.295,224.01668208553374,224.01668208553374,1866.8056840461147,172.98585489230405,1441.5487907692004,1
mixed,552.146,617.459,9.202433333333333,13.32,12.035,1.2850000000000001,220.02682615990702,220.02682615990702,1833.5568846658919,171.22710206996652,1426.892517249721,1
mixed,553.243,618.556,9.220716666666668,13.25,11.98,1.2699999999999996,216.674088707477,216.674088707477,1805.617405895642,170.6095186673048,1421.7459888942067,1
mixed,554.339,619.652,9.238983333333334,13.23,11.9975,1.2325,219.0298950887375,219.0298950887375,1825.2491257394793,177.71188242493915,1480.9323535411597,1
mixed,555.434,620.747,9.257233333333334,13.21,12.0025,1.2075000000000014,214.01485308695675,214.01485308695675,1783.457109057973,177.23797357097848,1476.9831130914874,1
mixed,556.5310000000001,621.844,9.275516666666668,13.23,12.0275,1.2025000000000006,209.02677713899539,209.02677713899539,1741.8898094916283,173.82684169563018,1448.5570141302514,1
mixed,557.6270000000001,622.94,9.293783333333334,13.25,11.9475,1.3025000000000002,207.55886861964177,207.55886861964177,1729.6572384970148,159.35421775020478,1327.95181458504,1
mixed,558.722,624.035,9.312033333333334,13.23,11.9975,1.2325,208.3900327152074,208.3900327152074,1736.5836059600617,169.07913404884982,1408.9927837404152,1
mixed,559.818,625.131,9.3303,13.22,11.985,1.2350000000000012,205.84020296142546,205.84020296142546,1715.3350246785456,166.67222911856297,1388.9352426546914,1
mixed,560.915,626.228,9.348583333333332,13.21,12.0225,1.1875,203.31925242387047,203.31925242387047,1694.327103532254,171.21621256746985,1426.8017713955821,1
mixed,562.01,627.323,9.366833333333334,13.17,12.0,1.17,203.5968181543268,203.5968181543268,1696.6401512860566,174.01437449087763,1450.1197874239804,1
mixed,563.106,628.419,9.3851,13.1,11.9875,1.112499999999999,205.14769953654013,205.14769953654013,1709.5641628045012,184.40242654969916,1536.6868879141598,1
mixed,564.203,629.516,9.403383333333332,13.19,11.950000000000001,1.2399999999999984,200.215545322305,200.215545322305,1668.462877685875,161.46414945347198,1345.534578778933,1
mixed,565.298,630.611,9.421633333333334,13.1,11.9,1.1999999999999993,199.13563208458407,199.13563208458407,1659.4636007048673,165.94636007048683,1382.8863339207237,1
mixed,566.394,631.707,9.4399,13.16,11.857499999999998,1.302500000000002,196.83585873931398,196.83585873931398,1640.2988228276165,151.121580605999,1259.3465050499915,1
mixed,567.491,632.804,9.458183333333332,13.2,11.787500000000001,1.4124999999999979,191.9591192348432,191.9591192348432,1599.6593269570267,135.90026140519893,1132.5021783766579,1
mixed,568.587,633.9,9.47645,13.11,11.667499999999999,1.4425000000000008,193.511341369601,193.511341369601,1612.594511413342,134.14997668603183,1117.9164723835986,1
