time_s,temp0_C,U1_bottom_C,U2_coilTop_C,U3_top_C,U4_coilMid_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,Strat_top_minus_bottom_C,dTbulk_dt_C_per_s,P_bath_W,P_HX_W,UA_corr_W_per_K
100.478,,9.46,-12.46,10.52,5.92,,,,,,1,O,1.6746333333333332,9.99,-3.2700000000000005,13.260000000000002,1.0599999999999987,-0.0053946473240957735,109.09595283518884,253.23428853269212,19.097608486628364
101.483,,9.48,-12.7,10.48,5.69,,,,,,1,O,1.6913833333333335,9.98,-3.5049999999999994,13.485,1.0,-0.00571915103109534,115.65839130184109,259.7967269993444,19.265608231319572
102.488,,9.48,-12.78,10.43,5.67,,,,,,1,O,1.7081333333333333,9.955,-3.5549999999999997,13.51,0.9499999999999993,-0.006086893649650253,123.0952502768771,267.2335859743804,19.780428273455247
103.493,,9.48,-13.13,10.45,5.49,,,,,,1,O,1.7248833333333333,9.965,-3.8200000000000003,13.785,0.9699999999999989,-0.006703110793556072,135.5570095780845,279.6953452755878,20.28983280925555
104.498,,9.45,-13.25,10.38,5.39,,,,,,1,O,1.7416333333333334,9.915,-3.93,13.844999999999999,0.9300000000000015,-0.007385530433861961,149.35758196399047,293.49591766149376,21.19869394449215
105.502,,9.43,-13.52,10.48,5.2,,,,,,1,O,1.7583666666666666,9.955,-4.16,14.115,1.0500000000000007,-0.007850305197529793,158.75672200964505,302.89505770714834,21.459090166995985
106.508,,9.41,-13.68,10.45,5.16,,,,,,1,O,1.7751333333333332,9.93,-4.26,14.19,1.0399999999999991,-0.008491408681785896,171.7217577717562,315.8600934692595,22.25934414864408
107.512,,9.44,-13.86,10.45,5.11,,,,,,1,O,1.7918666666666667,9.945,-4.375,14.32,1.0099999999999998,-0.009128573138130636,184.6071345724159,328.7454702699192,22.957085912703857
108.517,,9.33,-14.02,10.48,4.96,,,,,,1,O,1.8086166666666665,9.905000000000001,-4.529999999999999,14.435,1.1500000000000004,-0.009806409864572216,198.31502669124396,342.4533623887472,23.723821433235
109.522,,9.41,-14.24,10.34,4.87,,,,,,1,O,1.8253666666666668,9.875,-4.6850000000000005,14.56,0.9299999999999997,-0.010275103082020103,207.7934096276926,351.9317453251959,24.171136354752463
110.527,,9.3,-14.36,10.48,4.87,,,,,,1,O,1.8421166666666666,9.89,-4.744999999999999,14.635,1.1799999999999997,-0.010776584811059333,217.93487463405293,362.0732103315562,24.740226192795095
111.533,,9.23,-14.59,10.52,4.79,,,,,,1,O,1.8588833333333334,9.875,-4.9,14.775,1.2899999999999991,-0.011377044848370519,230.07797796859705,374.21631366610035,25.327669283661614
112.537,,9.33,-14.7,10.44,4.63,,,,,,1,O,1.8756166666666667,9.885,-5.035,14.92,1.1099999999999994,-0.012243696097832211,247.60426618646085,391.74260188396414,26.256206560587408
113.542,,9.28,-14.82,10.48,4.57,,,,,,1,O,1.8923666666666668,9.879999999999999,-5.125,15.004999999999999,1.200000000000001,-0.012862488662829357,260.1181082283981,404.2564439259014,26.941449112022756
114.547,,9.3,-15.07,10.43,4.48,,,,,,1,O,1.9091166666666666,9.865,-5.295,15.16,1.129999999999999,-0.013304302686709086,269.0529132333179,413.1912489308212,27.25535942815443
115.552,,9.22,-15.27,10.54,4.44,,,,,,1,O,1.9258666666666668,9.879999999999999,-5.414999999999999,15.294999999999998,1.3199999999999985,-0.013889691975050609,280.89124081144854,425.02957650895183,27.788792187574494
116.556,,9.3,-15.35,10.48,4.46,,,,,,1,O,1.9425999999999999,9.89,-5.445,15.335,1.1799999999999997,-0.014243696546103218,288.05027525184545,432.18861094934874,28.183150371656257
117.562,,9.2,-15.52,10.52,4.34,,,,,,1,O,1.9593666666666667,9.86,-5.59,15.45,1.3200000000000003,-0.014751744965265202,298.32453843255826,442.46287413006155,28.638373730101073
118.566,,9.22,-15.72,10.54,4.29,,,,,,1,O,1.9761,9.879999999999999,-5.715,15.594999999999999,1.3199999999999985,-0.015122080414144666,305.81383221524766,449.95216791275095,28.852335230057776
119.571,,9.15,-15.73,10.52,4.13,,,,,,1,O,1.99285,9.835,-5.800000000000001,15.635000000000002,1.3699999999999992,-0.015618370432402108,315.8503052544679,459.9886409519712,29.4204439368066
120.577,,9.19,-15.81,10.52,4.14,,,,,,1,O,2.0096166666666666,9.855,-5.835000000000001,15.690000000000001,1.33,-0.01607521665739701,325.0891064625398,469.2274421600431,29.90614672785488
121.581,,9.13,-16.02,10.55,4.14,,,,,,1,O,2.02635,9.84,-5.9399999999999995,15.78,1.42,-0.01647643421613841,333.20292915296716,477.34126485047045,30.249763298508903
122.587,,9.05,-16.08,10.43,4.08,,,,,,1,O,2.0431166666666667,9.74,-5.999999999999999,15.739999999999998,1.379999999999999,-0.016835688216465663,340.46812280158514,484.60645849908843,30.78821210286458
123.591,,8.96,-16.24,10.46,3.97,,,,,,1,O,2.05985,9.71,-6.134999999999999,15.844999999999999,1.5,-0.016960902811269853,343.0003375523103,487.1386732498136,30.743999573986347
124.596,,8.94,-16.42,10.5,3.92,,,,,,1,O,2.0766,9.719999999999999,-6.250000000000001,15.969999999999999,1.5600000000000005,-0.01731948239328923,350.2518924394882,494.3902281369915,30.957434448152256
125.601,,8.83,-16.6,10.44,3.86,,,,,,1,O,2.09335,9.635,-6.370000000000001,16.005000000000003,1.6099999999999994,-0.017454565388549233,352.9836758526312,497.1220115501345,31.06041934083939
126.606,,8.77,-16.74,10.45,3.82,,,,,,1,O,2.1101,9.61,-6.459999999999999,16.07,1.6799999999999997,-0.017446013491377112,352.81073083611943,496.9490665336227,30.924024053119023
127.61,,8.79,-16.93,10.44,3.71,,,,,,1,O,2.1268333333333334,9.614999999999998,-6.609999999999999,16.224999999999998,1.6500000000000004,-0.017417125452489475,352.22652802569473,496.364863723198,30.59259560697677
128.616,,8.67,-17.12,10.46,3.75,,,,,,1,O,2.1436,9.565000000000001,-6.6850000000000005,16.25,1.790000000000001,-0.017323451590814953,350.33216152105086,494.47049721855416,30.428953674987948
129.62,,8.63,-17.44,10.45,3.7,,,,,,1,O,2.1603333333333334,9.54,-6.870000000000001,16.41,1.8199999999999985,-0.01721981256089791,348.2362694190385,492.3746051165418,30.00454632032552
