dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
nomix,100.48400000000001,112.537,1.6747333333333334,9.885,-0.20249999999999968,10.087499999999999,203.97705299935896,203.97705299935896,1699.808774994658,20.220773531534967,168.50644609612473,1
nomix,101.489,113.542,1.6914833333333334,9.879999999999999,-0.27749999999999986,10.157499999999999,214.28598935464365,214.28598935464365,1785.7165779553638,21.096331711015868,175.80276425846557,1
nomix,102.494,114.547,1.7082333333333333,9.865,-0.40749999999999975,10.2725,221.64650548022087,221.64650548022087,1847.054212335174,21.576685858381197,179.80571548650997,1
nomix,103.49900000000001,115.552,1.7249833333333335,9.879999999999999,-0.4874999999999998,10.3675,231.39895122366525,231.39895122366525,1928.3245935305438,22.319648056297588,185.99706713581324,1
nomix,104.503,116.556,1.7417166666666666,9.89,-0.49250000000000016,10.3825,237.29658283544626,237.29658283544626,1977.4715236287188,22.855437788147967,190.46198156789973,1
nomix,105.509,117.562,1.7584833333333334,9.86,-0.625,10.485,245.76054816859224,245.76054816859224,2048.004568071602,23.439251136727922,195.32709280606602,1
nomix,106.513,118.566,1.7752166666666667,9.879999999999999,-0.7124999999999999,10.5925,251.93024830489497,251.93024830489497,2099.4187358741246,23.78383274060845,198.19860617173708,1
nomix,107.518,119.571,1.7919666666666667,9.835,-0.835,10.670000000000002,260.1983214870647,260.1983214870647,2168.319345725539,24.385972023155073,203.2164335262923,1
nomix,108.524,120.577,1.8087333333333333,9.855,-0.8475000000000006,10.7025,267.8092704932911,267.8092704932911,2231.743920777426,25.023057275710446,208.52547729758706,1
nomix,109.528,121.581,1.8254666666666668,9.84,-0.9000000000000004,10.74,274.4934592047516,274.4934592047516,2287.4454933729303,25.558050205284136,212.98375171070114,1
nomix,110.534,122.587,1.8422333333333334,9.74,-0.9599999999999995,10.7,280.47854505460106,280.47854505460106,2337.321208788342,26.212948135944025,218.44123446620023,1
nomix,111.538,123.591,1.8589666666666667,9.71,-1.0824999999999996,10.7925,282.56459030079014,282.56459030079014,2354.7049191732513,26.18156963639473,218.17974696995608,1
nomix,112.543,124.596,1.8757166666666667,9.719999999999999,-1.1650000000000005,10.885,288.53844050269146,288.53844050269146,2404.4870041890954,26.507895314900455,220.89912762417046,1
nomix,113.548,125.601,1.8924666666666667,9.635,-1.2550000000000003,10.89,290.7888909437409,290.7888909437409,2423.2407578645075,26.702377497129557,222.51981247607966,1
nomix,114.553,126.606,1.9092166666666666,9.61,-1.3199999999999998,10.93,290.6464183791857,290.6464183791857,2422.053486493214,26.591621077693112,221.59684231410927,1
nomix,115.557,127.61,1.92595,9.614999999999998,-1.4500000000000002,11.064999999999998,290.1651505502428,290.1651505502428,2418.0429212520235,26.22369187078562,218.53076558988016,1
nomix,116.56300000000002,128.616,1.9427166666666669,9.565000000000001,-1.4675000000000002,11.032500000000002,288.60456638556195,288.60456638556195,2405.038053213016,26.15948936193627,217.99574468280227,1
nomix,117.56700000000001,129.62,1.9594500000000001,9.54,-1.585,11.125,286.8779648978005,286.8779648978005,2390.6497074816707,25.786783361600044,214.88986134666703,1
nomix,118.572,130.625,1.9762,9.54,-1.6049999999999995,11.145,287.8397488467152,287.8397488467152,2398.6645737226268,25.826805639005403,215.22338032504504,1
nomix,119.578,131.631,1.9929666666666668,9.555,-1.7225000000000001,11.2775,286.5506565621819,286.5506565621819,2387.922138018183,25.409058440450625,211.74215367042189,1
nomix,120.582,132.635,2.0097,9.48,-1.83,11.31,287.52312775330984,287.52312775330984,2396.0260646109155,25.42202721072589,211.8502267560491,1
nomix,121.58699999999999,133.64,2.0264499999999996,9.45,-1.9550000000000005,11.405,285.81970538765785,285.81970538765785,2381.830878230482,25.06091235314843,208.84093627623693,1
nomix,122.59200000000001,134.645,2.0432,9.43,-2.0025000000000004,11.432500000000001,286.29941711204816,286.29941711204816,2385.828475933735,25.04259060678313,208.6882550565261,1
nomix,123.59700000000001,135.65,2.05995,9.44,-2.0925,11.532499999999999,283.7656039154973,283.7656039154973,2364.713365962478,24.605731967526324,205.0477663960527,1
nomix,124.601,136.654,2.0766833333333334,9.455,-2.1775,11.6325,280.43438488629243,280.43438488629243,2336.9532073857704,24.10783450559144,200.89862087992867,1
nomix,125.607,137.66,2.09345,9.39,-2.2299999999999995,11.620000000000001,278.479108486527,278.479108486527,2320.659237387725,23.965499869752755,199.7124989146063,1
nomix,126.61099999999999,138.664,2.110183333333333,9.395,-2.305,11.7,274.405001438824,274.405001438824,2286.7083453235336,23.453418926395216,195.44515771996015,1
nomix,127.61600000000001,139.669,2.1269333333333336,9.39,-2.4275,11.8175,270.82370666697005,270.82370666697005,2256.8642222247504,22.917174247257883,190.97645206048236,1
nomix,128.622,140.675,2.1437000000000004,9.39,-2.4974999999999996,11.8875,266.2360717358829,266.2360717358829,2218.6339311323577,22.396304667582157,186.63587222985132,1
nomix,129.626,141.679,2.160433333333333,9.350000000000001,-2.5725000000000002,11.922500000000001,257.9911539554611,257.9911539554611,2149.9262829621757,21.63901480020642,180.32512333505352,1
nomix,130.632,142.685,2.1772,9.325,-2.59,11.915,249.59318737252232,249.59318737252232,2079.943228104353,20.9478126204383,174.56510517031916,1
nomix,131.636,143.689,2.1939333333333333,9.325,-2.6899999999999995,12.014999999999999,240.55026090041056,240.55026090041056,2004.5855075034215,20.020829038735798,166.840241989465,1
nomix,132.641,144.694,2.2106833333333333,9.305,-2.7250000000000005,12.030000000000001,231.76971762072722,231.76971762072722,1931.4143135060604,19.265978189586633,160.54981824655528,1
nomix,133.64600000000002,145.699,2.2274333333333334,9.34,-2.8675,12.2075,227.4984138903209,227.4984138903209,1895.8201157526744,18.63595444524439,155.2996203770366,1
nomix,134.651,146.704,2.2441833333333334,9.24,-2.9274999999999998,12.1675,221.98318588223364,221.98318588223364,1849.8598823519471,18.243943774993518,152.03286479161267,1
nomix,135.655,147.708,2.2609166666666667,9.309999999999999,-2.9999999999999996,12.309999999999999,215.49589258259118,215.49589258259118,1795.7991048549266,17.50575894253381,145.8813245211151,1
nomix,136.661,148.714,2.2776833333333335,9.32,-3.1274999999999995,12.4475,211.78244781253431,211.78244781253431,1764.8537317711193,17.014054855395408,141.7837904616284,1
nomix,137.666,149.719,2.294433333333333,9.35,-3.1275,12.4775,208.01429806559457,208.01429806559457,1733.4524838799548,16.67115191870123,138.92626598917693,1
nomix,138.67000000000002,150.723,2.311166666666667,9.305,-3.3025,12.6075,204.42191892279558,204.42191892279558,1703.5159910232967,16.214310444005203,135.11925370004337,1
nomix,139.67600000000002,151.729,2.3279333333333336,9.305,-3.365,12.67,205.36062568344457,205.36062568344457,1711.338547362038,16.208415602481814,135.0701300206818,1
nomix,140.68,152.733,2.344666666666667,9.205,-3.4375,12.6425,205.20821173786973,205.20821173786973,1710.0684311489144,16.231616510806386,135.26347092338656,1
nomix,141.686,153.739,2.3614333333333333,9.26,-3.5300000000000002,12.79,203.28647477338407,203.28647477338407,1694.0539564448673,15.894173164455362,132.45144303712803,1
nomix,142.69,154.743,2.3781666666666665,9.215,-3.6174999999999997,12.8325,199.58400371980093,199.58400371980093,1663.2000309983412,15.553010225583552,129.6084185465296,1
nomix,143.695,155.748,2.3949166666666666,9.225,-3.7824999999999998,13.0075,200.50152839662462,200.50152839662462,1670.8460699718719,15.414301625725514,128.4525135477126,1
nomix,144.7,156.753,2.4116666666666666,9.165,-3.7649999999999997,12.93,201.4402276929743,201.4402276929743,1678.6685641081192,15.5792906181728,129.82742181810667,1
nomix,145.705,157.758,2.4284166666666667,9.185,-3.83,13.015,202.69612455430402,202.69612455430402,1689.1343712858668,15.574039535482445,129.78366279568704,1
nomix,146.71,158.763,2.4451666666666667,9.175,-3.95,13.125,201.10150622561366,201.10150622561366,1675.8458852134472,15.322019521951518,127.68349601626265,1
nomix,147.715,159.768,2.4619166666666668,9.129999999999999,-4.04,13.169999999999998,199.80221859142097,199.80221859142097,1665.0184882618414,15.171011282568033,126.42509402140028,1
nomix,148.72,160.773,2.478666666666667,9.125,-4.105,13.23,200.04214040123793,200.04214040123793,1667.0178366769828,15.120343189813902,126.00285991511585,1
nomix,149.724,161.777,2.4953999999999996,9.07,-4.175000000000001,13.245000000000001,200.63265458152645,200.63265458152645,1671.938788179387,15.147803290413473,126.23169408677894,1
nomix,150.73,162.783,2.5121666666666664,9.085,-4.2725,13.357500000000002,198.62320204893575,198.62320204893575,1655.193350407798,14.869788661720811,123.91490551434009,1
nomix,151.734,163.787,2.5289,9.105,-4.32,13.425,198.41567929966192,198.41567929966192,1653.4639941638493,14.779566428280216,123.1630535690018,1
nomix,152.739,164.792,2.54565,9.120000000000001,-4.3875,13.5075,198.52536120845903,198.52536120845903,1654.3780100704919,14.69741708002658,122.47847566688817,1
nomix,153.744,165.797,2.5624,9.08,-4.465,13.545,201.91008444892904,201.91008444892904,1682.5840370744088,14.906613838975936,124.22178199146613,1
nomix,154.749,166.802,2.57915,9.055,-4.5875,13.6425,202.18337001861818,202.18337001861818,1684.8614168218182,14.820111417893948,123.50092848244957,1
nomix,155.755,167.808,2.5959166666666667,9.03,-4.6925,13.7225,203.55897595429983,203.55897595429983,1696.3247996191653,14.833957074461638,123.616308953847,1
nomix,156.75900000000001,168.812,2.6126500000000004,9.055,-4.91,13.965,200.86152049626682,200.86152049626682,1673.846004135557,14.383209487738405,119.86007906448671,1
nomix,157.764,169.817,2.6294,9.035,-5.09,14.125,203.25317803806706,203.25317803806706,1693.776483650559,14.389605524818908,119.9133793734909,1
nomix,158.769,170.822,2.64615,9.035,-5.2175,14.252500000000001,202.11782069407965,202.11782069407965,1684.3151724506638,14.181218782254316,118.17682318545263,1
nomix,159.774,171.827,2.6629,9.035,-5.325,14.36,198.1095193389404,198.1095193389404,1650.9126611578367,13.79592753056688,114.966062754724,1
nomix,160.778,172.831,2.6796333333333333,9.0,-5.465,14.465,191.45891809820412,191.45891809820412,1595.490984151701,13.236012312354243,110.30010260295202,1
nomix,161.784,173.837,2.6963999999999997,8.93,-5.585,14.515,189.47133426588695,189.47133426588695,1578.927785549058,13.053484964925039,108.77904137437532,1
nomix,162.788,174.841,2.7131333333333334,8.95,-5.694999999999999,14.645,186.2163919637583,186.2163919637583,1551.8032663646525,12.715356228320813,105.96130190267344,1
nomix,163.793,175.846,2.7298833333333334,8.96,-5.8025,14.762500000000001,187.4400597809029,187.4400597809029,1562.000498174191,12.697040459332966,105.80867049444139,1
nomix,164.798,176.851,2.7466333333333335,8.955,-5.93,14.885,180.49347667789195,180.49347667789195,1504.1123056490997,12.125863397910107,101.0488616492509,1
nomix,165.803,177.856,2.763383333333333,8.91,-6.010000000000001,14.920000000000002,180.810443723452,180.810443723452,1506.7536976954334,12.118662447952547,100.9888537329379,1
nomix,166.809,178.862,2.78015,8.915,-6.1225000000000005,15.0375,178.0038917329289,178.0038917329289,1483.3657644410744,11.83733278356967,98.64443986308058,1
nomix,167.81300000000002,179.866,2.7968833333333336,8.905,-6.1674999999999995,15.072499999999998,177.7964849794609,177.7964849794609,1481.6373748288408,11.796084589780124,98.30070491483437,1
