temperature_C,heat_flow_W_per_g
-55.97826086956522,-0.2556135770234987
-55.525362318840564,-0.2556135770234987
-55.07246376811594,-0.2556135770234987
-54.16666666666666,-0.25430809399477805
-53.71376811594203,-0.25430809399477805
-53.26086956521738,-0.25430809399477805
-52.80797101449275,-0.25430809399477805
-52.355072463768124,-0.25430809399477805
-51.90217391304347,-0.25430809399477805
-51.44927536231884,-0.25430809399477805
-50.99637681159419,-0.25430809399477805
-50.54347826086956,-0.25430809399477805
-50.09057971014494,-0.25430809399477805
-49.63768115942028,-0.25430809399477805
-49.184782608695656,-0.25430809399477805
-48.731884057971,-0.25430809399477805
-48.278985507246375,-0.25430809399477805
-47.82608695652175,-0.25430809399477805
-47.373188405797094,-0.25430809399477805
-46.92028985507247,-0.25430809399477805
-46.467391304347814,-0.25430809399477805
-46.01449275362319,-0.25430809399477805
-45.56159420289853,-0.25430809399477805
-45.10869565217391,-0.25430809399477805
-43.75,-0.25430809399477805
-43.297101449275345,-0.25430809399477805
-42.84420289855072,-0.25430809399477805
-42.39130434782609,-0.25430809399477805
-41.93840579710144,-0.25430809399477805
-41.48550724637681,-0.25430809399477805
-41.03260869565216,-0.25430809399477805
-40.57971014492753,-0.25430809399477805
-40.126811594202906,-0.25430809399477805
-39.67391304347825,-0.25430809399477805
-39.221014492753625,-0.25430809399477805
-38.76811594202897,-0.25430809399477805
-38.315217391304344,-0.25430809399477805
-37.86231884057972,-0.25430809399477805
-37.40942028985506,-0.25430809399477805
-36.95652173913044,-0.25430809399477805
-36.50362318840578,-0.2530026109660574
-36.05072463768116,-0.2530026109660574
-35.59782608695653,-0.2516971279373368
-35.144927536231876,-0.2516971279373368
-33.78623188405797,-0.2516971279373368
-33.333333333333314,-0.2516971279373368
-32.88043478260869,-0.2516971279373368
-32.42753623188406,-0.2516971279373368
-31.974637681159408,-0.2516971279373368
-31.52173913043478,-0.2516971279373368
-31.068840579710127,-0.2516971279373368
-30.6159420289855,-0.2516971279373368
-30.163043478260875,-0.2516971279373368
-29.71014492753622,-0.2516971279373368
-29.257246376811594,-0.2516971279373368
-28.80434782608694,-0.2516971279373368
-28.351449275362313,-0.2516971279373368
-27.898550724637687,-0.2516971279373368
-27.445652173913032,-0.2516971279373368
-26.992753623188406,-0.2516971279373368
-26.53985507246375,-0.2516971279373368
-26.086956521739125,-0.2516971279373368
-25.6340579710145,-0.2516971279373368
-25.181159420289845,-0.2516971279373368
-24.275362318840564,-0.2516971279373368
-23.822463768115938,-0.2516971279373368
-23.36956521739131,-0.2516971279373368
-22.916666666666657,-0.2516971279373368
-22.46376811594203,-0.2516971279373368
-22.010869565217376,-0.2516971279373368
-21.55797101449275,-0.2516971279373368
-21.105072463768124,-0.2516971279373368
-20.65217391304347,-0.2516971279373368
-20.199275362318843,-0.2516971279373368
-19.74637681159419,-0.2516971279373368
-19.293478260869563,-0.2516971279373368
