minus100_cycle_number,below100_segment,start_elapsed_min,cold_min_elapsed_min,end_elapsed_min,duration_min,cooldown_duration_min,warmup_duration_min,start_THM_C,cold_min_THM_C,end_THM_C,raw_csv_samples,cooldown_samples,warmup_samples,cooldown_rate_median_C_per_min,warmup_rate_median_C_per_min,median_TMI_C,median_density_kg_m3,median_mass_flow_kgmin,median_volume_flow_lmin,median_delta_p_bar,median_pump_cmd_pct
11,23,89.24076755337659,90.31603333333334,92.63353892602213,3.392771372645541,1.0752657799567515,2.3175055926887893,-100.0,-134.4476490612141,-100.0,97,32,67,-28.04314241478221,8.093990284166921,-86.41000001481103,1643.0,4.45303584,2.7098999999999998,0.8010000000000002,40.0
12,25,93.18680137354522,94.32588333333334,96.57919975486962,3.392398381324398,1.1390819597881148,2.253316421536283,-100.0,-135.2000997672744,-100.0,97,34,65,-25.418243409674574,8.379238350936248,-87.27000000769452,1645.0,4.46837208,2.7144,0.8209999999999997,40.0
13,27,97.02947626054332,98.09203333333333,101.05281505263811,4.0233387920947905,1.062557072790014,2.9607817193047765,-100.0,-135.35851044223446,-100.0,115,32,85,-29.46561757368454,10.790402094555475,-88.15000002841963,1647.0,4.48396962,2.72274,0.8200000000000001,40.0
14,29,102.07522561382804,103.4619,106.47346812848092,4.398242514652878,1.3866743861719613,3.011568128480917,-100.0,-141.71473877500694,-100.0,126,41,87,-21.16257512770062,6.956969771489639,-87.66499998050311,1647.0,5.01601782,3.04743,0.9329999999999999,45.0
15,31,106.94597542885822,107.85655,110.0647078171557,3.118732388297488,0.9105745711417796,2.2081578171557084,-100.0,-131.96258159777813,-100.0,90,28,64,-28.32791514889948,6.731977921273028,-89.26000001806739,1650.0,4.497829230000001,2.7253499999999997,0.8594999999999999,40.0
16,33,110.44889602150053,111.34361666666668,113.05126343789996,2.6023674163994315,0.8947206451661458,1.7076467712332857,-100.0,-127.8340033816315,-100.0,74,27,49,-18.42042872447132,6.531032846703738,-90.24000002746233,1653.0,4.50521013,2.72619,0.884,40.0
17,35,113.53780718579142,116.46936666666667,118.8738750060776,5.336067820286175,2.9315594808752508,2.404508339410924,-100.0,-132.30910494925325,-100.0,153,86,69,-3.9756830117646587,7.808843621058259,-91.72000003038583,1657.0,4.5136407,2.72418,0.9199999999999999,40.0
18,37,119.06459072269733,119.99123333333334,122.13002555305724,3.065434830359905,0.9266426106360086,2.1387922197238964,-100.0,-129.43791146560213,-100.0,88,28,62,-28.1854753388958,6.390344151012641,-92.35999996790858,1658.0,4.5214567500000005,2.72904,0.957,40.0
19,39,122.23671830459956,125.6398,127.60248684868743,5.365768544087871,3.403081695400431,1.96268684868744,-100.0,-126.73502932409609,-100.0,154,99,57,-2.839579498568355,5.679158997133754,-93.48999998539799,1661.0,4.53233133,2.72853,0.9670000000000001,40.0
20,41,127.92762528348115,135.47301666666667,154.96536666666668,27.037741383185534,7.5453913831855175,19.492350000000016,-100.0,-134.84367574861426,-118.36896555276783,776,218,559,-1.3508879244292302,3.553412315759715,-96.37999999415815,1667.0,4.56708972,2.73912,1.0839999999999999,40.0
