time_s,TMI_C,pump_cmd_pct,pump_freq_hz,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_error_bar,source_log,t_min,delta_p_bar,delta_p_full_error_bar,tmi_error_C
3902.202,-74.4,40.0,28.14,2.31,2.897,0.05,log_20260424_153546.csv,65.03670000000001,0.5869999999999997,0.1,1.0
3904.293,-74.33,40.0,28.14,2.242,2.71,0.05,log_20260424_153546.csv,65.07155,0.46799999999999997,0.1,1.0
3906.385,-74.35,40.0,28.14,2.3,2.877,0.05,log_20260424_153546.csv,65.10641666666668,0.577,0.1,1.0
3908.477,-74.48,40.0,28.14,2.056,2.897,0.05,log_20260424_153546.csv,65.14128333333333,0.8409999999999997,0.1,1.0
3910.568,-74.55,40.0,28.14,2.31,2.769,0.05,log_20260424_153546.csv,65.17613333333334,0.4590000000000001,0.1,1.0
3912.66,-74.63,40.0,28.14,2.125,2.858,0.05,log_20260424_153546.csv,65.211,0.7330000000000001,0.1,1.0
3914.752,-74.74,40.0,28.14,2.271,2.681,0.05,log_20260424_153546.csv,65.24586666666667,0.41000000000000014,0.1,1.0
3916.844,-74.82,40.0,28.15,2.329,2.965,0.05,log_20260424_153546.csv,65.28073333333333,0.6359999999999997,0.1,1.0
3918.936,-74.55,40.0,28.14,2.232,2.701,0.05,log_20260424_153546.csv,65.3156,0.46899999999999986,0.1,1.0
3921.027,-74.69,40.0,28.15,2.339,2.877,0.05,log_20260424_153546.csv,65.35045,0.5379999999999998,0.1,1.0
3923.119,-74.73,40.0,28.14,2.164,2.946,0.05,log_20260424_153546.csv,65.38531666666667,0.782,0.1,1.0
3925.211,-74.77,40.0,28.15,2.251,2.848,0.05,log_20260424_153546.csv,65.42018333333333,0.597,0.1,1.0
3927.302,-74.82,40.0,28.15,2.154,2.985,0.05,log_20260424_153546.csv,65.45503333333333,0.831,0.1,1.0
3929.394,-74.87,40.0,28.14,2.281,2.769,0.05,log_20260424_153546.csv,65.48989999999999,0.488,0.1,1.0
3931.485,-74.93,40.0,28.14,2.3,2.936,0.05,log_20260424_153546.csv,65.52475,0.6360000000000001,0.1,1.0
3933.577,-74.82,40.0,28.14,2.066,2.71,0.05,log_20260424_153546.csv,65.55961666666667,0.6440000000000001,0.1,1.0
3935.669,-74.71,40.0,28.14,2.32,2.769,0.05,log_20260424_153546.csv,65.59448333333333,0.4490000000000003,0.1,1.0
3937.761,-74.85,40.0,28.15,2.281,2.936,0.05,log_20260424_153546.csv,65.62935,0.6549999999999998,0.1,1.0
3939.853,-74.98,40.0,28.14,2.095,2.799,0.05,log_20260424_153546.csv,65.66421666666666,0.7039999999999997,0.1,1.0
3941.945,-75.12,40.0,28.14,2.154,2.877,0.05,log_20260424_153546.csv,65.69908333333333,0.7229999999999999,0.1,1.0
3944.041,-74.94,40.0,28.14,2.134,2.661,0.05,log_20260424_153546.csv,65.73401666666668,0.5270000000000001,0.1,1.0
3946.133,-75.02,40.0,28.14,2.212,2.887,0.05,log_20260424_153546.csv,65.76888333333333,0.6749999999999998,0.1,1.0
3948.224,-74.93,40.0,28.14,2.056,2.73,0.05,log_20260424_153546.csv,65.80373333333334,0.6739999999999999,0.1,1.0
3950.316,-74.87,40.0,28.14,2.437,2.867,0.05,log_20260424_153546.csv,65.8386,0.43000000000000016,0.1,1.0
3952.408,-74.94,40.0,28.14,2.056,2.652,0.05,log_20260424_153546.csv,65.87346666666666,0.5960000000000001,0.1,1.0
3954.499,-74.94,40.0,28.14,2.222,2.946,0.05,log_20260424_153546.csv,65.90831666666666,0.7240000000000002,0.1,1.0
3956.59,-74.85,40.0,28.14,2.056,2.769,0.05,log_20260424_153546.csv,65.94316666666667,0.7130000000000001,0.1,1.0
3958.682,-74.87,40.0,28.14,2.359,2.956,0.05,log_20260424_153546.csv,65.97803333333333,0.597,0.1,1.0
3960.773,-74.74,40.0,28.14,2.047,2.73,0.05,log_20260424_153546.csv,66.01288333333333,0.6829999999999998,0.1,1.0
3962.865,-74.74,40.0,28.14,2.339,2.769,0.05,log_20260424_153546.csv,66.04775,0.43000000000000016,0.1,1.0
3964.957,-74.63,40.0,28.14,2.095,2.867,0.05,log_20260424_153546.csv,66.08261666666667,0.7719999999999998,0.1,1.0
3967.048,-74.49,40.0,28.02,2.173,2.858,0.05,log_20260424_153546.csv,66.11746666666666,0.685,0.1,1.0
3969.14,-74.57,40.0,28.12,2.29,2.995,0.05,log_20260424_153546.csv,66.15233333333333,0.7050000000000001,0.1,1.0
3971.231,-74.41,40.0,28.11,2.271,2.936,0.05,log_20260424_153546.csv,66.18718333333334,0.665,0.1,1.0
3973.323,-74.15,40.0,28.1,2.076,2.936,0.05,log_20260424_153546.csv,66.22205,0.8599999999999999,0.1,1.0
3975.415,-74.3,40.0,28.13,2.339,2.877,0.05,log_20260424_153546.csv,66.25691666666667,0.5379999999999998,0.1,1.0
3977.506,-73.96,40.0,28.12,2.32,2.838,0.05,log_20260424_153546.csv,66.29176666666666,0.5180000000000002,0.1,1.0
3979.598,-73.8,40.0,28.11,2.125,2.769,0.05,log_20260424_153546.csv,66.32663333333333,0.6440000000000001,0.1,1.0
3981.69,-73.56,40.0,28.11,2.095,2.779,0.05,log_20260424_153546.csv,66.3615,0.6839999999999997,0.1,1.0
3983.781,-73.34,40.0,28.11,2.134,2.73,0.05,log_20260424_153546.csv,66.39635,0.5960000000000001,0.1,1.0
3985.873,-73.44,40.0,28.11,2.095,2.73,0.05,log_20260424_153546.csv,66.43121666666667,0.6349999999999998,0.1,1.0
3987.964,-73.53,40.0,28.11,2.251,2.809,0.05,log_20260424_153546.csv,66.46606666666666,0.5580000000000003,0.1,1.0
3990.056,-73.65,40.0,28.11,2.232,2.995,0.05,log_20260424_153546.csv,66.50093333333334,0.7629999999999999,0.1,1.0
3992.148,-73.68,40.0,28.11,2.271,2.916,0.05,log_20260424_153546.csv,66.53580000000001,0.645,0.1,1.0
3994.24,-73.73,40.0,28.11,2.242,2.887,0.05,log_20260424_153546.csv,66.57066666666667,0.645,0.1,1.0
3996.332,-73.9,40.0,28.1,2.154,2.818,0.05,log_20260424_153546.csv,66.60553333333333,0.6640000000000001,0.1,1.0
3998.424,-74.16,40.0,28.11,2.008,2.593,0.05,log_20260424_153546.csv,66.6404,0.585,0.1,1.0
4000.515,-74.29,40.0,28.1,2.115,2.858,0.05,log_20260424_153546.csv,66.67524999999999,0.7429999999999999,0.1,1.0
4002.607,-74.32,40.0,28.1,2.164,2.867,0.05,log_20260424_153546.csv,66.71011666666666,0.7029999999999998,0.1,1.0
4004.699,-74.41,40.0,28.11,2.349,2.799,0.05,log_20260424_153546.csv,66.74498333333334,0.44999999999999973,0.1,1.0
4006.79,-74.49,40.0,28.11,2.271,2.858,0.05,log_20260424_153546.csv,66.77983333333333,0.5870000000000002,0.1,1.0
4008.882,-74.38,40.0,28.12,2.251,2.72,0.05,log_20260424_153546.csv,66.8147,0.4690000000000003,0.1,1.0
4010.973,-74.65,40.0,28.11,2.056,2.652,0.05,log_20260424_153546.csv,66.84955,0.5960000000000001,0.1,1.0
4013.065,-74.57,40.0,28.1,2.144,2.858,0.05,log_20260424_153546.csv,66.88441666666667,0.714,0.1,1.0
4015.157,-74.66,40.0,28.11,2.281,2.926,0.05,log_20260424_153546.csv,66.91928333333334,0.645,0.1,1.0
4017.249,-74.79,40.0,28.11,2.368,2.956,0.05,log_20260424_153546.csv,66.95415,0.5880000000000001,0.1,1.0
4019.341,-74.66,40.0,28.1,2.212,2.74,0.05,log_20260424_153546.csv,66.98901666666667,0.528,0.1,1.0
4021.433,-74.65,40.0,28.11,2.232,2.936,0.05,log_20260424_153546.csv,67.02388333333333,0.7039999999999997,0.1,1.0
4023.529,-74.58,40.0,28.1,2.31,2.74,0.05,log_20260424_153546.csv,67.05881666666667,0.43000000000000016,0.1,1.0
4025.621,-74.63,40.0,28.1,2.349,2.74,0.05,log_20260424_153546.csv,67.09368333333333,0.391,0.1,1.0
4027.712,-74.52,40.0,28.1,2.193,2.779,0.05,log_20260424_153546.csv,67.12853333333334,0.5859999999999999,0.1,1.0
4029.804,-74.65,40.0,28.1,2.144,2.71,0.05,log_20260424_153546.csv,67.1634,0.5659999999999998,0.1,1.0
4031.896,-74.68,40.0,28.1,2.31,2.858,0.05,log_20260424_153546.csv,67.19826666666667,0.548,0.1,1.0
4033.991,-74.54,40.0,28.1,2.232,2.74,0.05,log_20260424_153546.csv,67.23318333333333,0.508,0.1,1.0
4036.083,-74.65,40.0,28.11,2.251,2.799,0.05,log_20260424_153546.csv,67.26805,0.548,0.1,1.0
4038.174,-74.77,40.0,28.11,2.037,2.72,0.05,log_20260424_153546.csv,67.3029,0.6830000000000003,0.1,1.0
4040.266,-74.85,40.0,28.12,2.183,2.887,0.05,log_20260424_153546.csv,67.33776666666667,0.7040000000000002,0.1,1.0
4042.358,-74.91,40.0,28.11,2.359,2.848,0.05,log_20260424_153546.csv,67.37263333333334,0.4889999999999999,0.1,1.0
4044.449,-75.01,40.0,28.14,2.095,2.877,0.05,log_20260424_153546.csv,67.40748333333333,0.7819999999999996,0.1,1.0
